Relation Type,Source,Count,Example Source,Example Target
OFFICER (Group Chief Financial Officer),SEC_FORM_4,5,Banerjee Anindya,Aebi Schmidt Holding AG
"OFFICER (President, Global Components)",SEC_FORM_4,5,King Andrew,ARROW ELECTRONICS INC
"OFFICER (President, Global ECS)",SEC_FORM_4,5,Kerins Sean J,ARROW ELECTRONICS INC
OFFICER (Principal Financial Officer),SEC_FORM_4,5,August Keri,"ConnectM Technology Solutions, Inc."
OFFICER (SVP - Chief Accounting Officer),SEC_FORM_4,5,Hofmeister Tracy L,MERCADOLIBRE INC
"OFFICER (SVP, Operations)",SEC_FORM_4,5,Belcher Samuel,CARPENTER TECHNOLOGY CORP
OFFICER (Senior Vice President & CFO),SEC_FORM_4,5,Cerepak Brad M,APPLIED MATERIALS INC /DE
"OFFICER (Senior Vice President, CFO)",SEC_FORM_4,5,Durn Daniel,ALLIANT ENERGY CORP
OFFICER (Sr. VP and CFO),SEC_FORM_4,5,HIRSCH DIDIER,AGILENT TECHNOLOGIES INC
"OFFICER (VP, Gen Counsel & Secretary)",SEC_FORM_4,5,Leonti Joseph R,PARKER HANNIFIN CORP
OFFICER (Vice President and CFO),SEC_FORM_4,5,Herndon Philip T.,CROWN CRAFTS INC
"OFFICER (Vice President, Controller)",SEC_FORM_4,5,DELK CHRISTOPHER P.,AUTOZONE INC
OFFICER (see remarks),SEC_FORM_4,5,Garren Ben,Cereplast Inc
CEO,SEC,4,Elon Musk,Apple Inc.
DIRECTOR (CEO AND PRESIDENT),SEC_FORM_4,4,Chapman Steven Leonard,"Ibotta, Inc."
"DIRECTOR (CEO, President and Director)",SEC_FORM_4,4,Connelly Robert,"Elicio Therapeutics, Inc."
DIRECTOR (CEO/CFO),SEC_FORM_4,4,D'Ambrosio Trent,BLUSKY AI INC.
DIRECTOR (CHAIRMAN AND CEO),SEC_FORM_4,4,GORDON ELLEN R,OLD NATIONAL BANCORP /IN/
DIRECTOR (CHIEF TECHNOLOGY OFFICER),SEC_FORM_4,4,Breslauer David Nate,"Bolt Projects Holdings, Inc."
"DIRECTOR (Chairman, CEO)",SEC_FORM_4,4,JENNINGS T BENJAMIN,CHIPOTLE MEXICAN GRILL INC
DIRECTOR (Chief Medical Officer),SEC_FORM_4,4,Kaufman Francine,"Nexalin Technology, Inc."
DIRECTOR (Co-CEO),SEC_FORM_4,4,Alkarmi Ashraf,Aptera Motors Corp
DIRECTOR (Co-Chairman and Co-CEO),SEC_FORM_4,4,KRAVIS HENRY R,KKR & Co. Inc.
DIRECTOR (Co-President & Co-COO),SEC_FORM_4,4,BAE JOSEPH Y,KKR & Co. Inc.
DIRECTOR (Executive Chairman and CEO),SEC_FORM_4,4,Cohen Scot,AUDDIA INC.
DIRECTOR (Interim President and CEO),SEC_FORM_4,4,Austen William F.,"ARROW ELECTRONICS, INC."
DIRECTOR (President & COO),SEC_FORM_4,4,GRAY JONATHAN,Blackstone Inc.
DIRECTOR (President and Chairman),SEC_FORM_4,4,CALAMOS JOHN P SR,Calamos Dynamic Convertible & Income Fund
OFFICER (CFO and COO),SEC_FORM_4,4,Collins John DeNeen,LIQTECH INTERNATIONAL INC
OFFICER (CHIEF MEDICAL OFFICER),SEC_FORM_4,4,Chaubey Alka,"AEON Biopharma, Inc."
OFFICER (CRO),SEC_FORM_4,4,George James Case,"ChargePoint Holdings, Inc."
OFFICER (CSO),SEC_FORM_4,4,Bridgewater Brandon,"Moleculin Biotech, Inc."
"OFFICER (Chairman, President & CEO)",SEC_FORM_4,4,Foley Brendan M,DOVER Corp
OFFICER (Chief Brand Officer),SEC_FORM_4,4,Brandt Christopher W,CHIPOTLE MEXICAN GRILL INC
OFFICER (Chief Customer & Rev Officer),SEC_FORM_4,4,Paladin Michael Shane,EQUINIX INC
"OFFICER (Chief Financial Officer, EVP)",SEC_FORM_4,4,EISENBERG GLENN A,"COHEN & STEERS, INC."
OFFICER (Chief Legal Officer & GC),SEC_FORM_4,4,Chu Jennifer L.,CHIPOTLE MEXICAN GRILL INC
OFFICER (Chief Merchandising Officer),SEC_FORM_4,4,Beebe Brent A.,"DOLLAR TREE, INC."
OFFICER (Chief Sales Officer),SEC_FORM_4,4,Briffa Mark,"ALPHA MODUS HOLDINGS, INC."
OFFICER (Chief Technical Officer),SEC_FORM_4,4,CORTEGOSO PABLO,Aircastle LTD
OFFICER (EVP & Chief Technology Officer),SEC_FORM_4,4,Abdel-Malek Aiman,AMGEN INC
OFFICER (EVP Exploration and Production),SEC_FORM_4,4,Boedeker Kenneth W.,DEVON ENERGY CORP/DE
OFFICER (EVP Pharmaceutical Oper & Tech),SEC_FORM_4,4,Cox John,BIOGEN IDEC INC.
OFFICER (EVP and CCO),SEC_FORM_4,4,Christensen Bret,"Affinity Bancshares, Inc."
"OFFICER (EVP, Chief Information Officer)",SEC_FORM_4,4,Boigon Aaron M.,Capital Bancorp Inc
"OFFICER (EVP, Chief Risk Officer)",SEC_FORM_4,4,Crews Terrell Kirk II,LINCOLN NATIONAL CORP
"OFFICER (EVP, Chief Strategy Officer)",SEC_FORM_4,4,Bailey Megan D.,GLOBE LIFE INC.
"OFFICER (EVP, Consumer Group)",SEC_FORM_4,4,Johnson Gregory N,INTUIT INC
"OFFICER (EVP, Gen Counsel & Corp Sec)",SEC_FORM_4,4,Bem Karrie M.,"Delek Logistics Partners, LP"
"OFFICER (EVP, Gen Counsel & Secretary)",SEC_FORM_4,4,Darby John Patrick,Encompass Health Corp
OFFICER (Executive Chairman),SEC_FORM_4,4,MISSAD MATTHEW J,EQUINIX INC
OFFICER (Group Managing Director),SEC_FORM_4,4,Cohen Marc Eliot,Fidelis Insurance Holdings Ltd
OFFICER (Interim CEO),SEC_FORM_4,4,Boatwright Scott,CHIPOTLE MEXICAN GRILL INC
OFFICER (PRES. - ELECTRONIC INSTRUMENTS),SEC_FORM_4,4,CIAMPITTI TONY J,AMETEK INC/
"OFFICER (President, Global Products)",SEC_FORM_4,4,Bell Blake R,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
OFFICER (SVP & CAO),SEC_FORM_4,4,DEES KIMBERLY,ADOBE INC.
OFFICER (SVP & CIO),SEC_FORM_4,4,Colisto Nicholas,Allegion plc
OFFICER (SVP & Chief Strategy Officer),SEC_FORM_4,4,Chavez Rodriguez Beatriz Karina,3M CO
OFFICER (SVP - Human Resources),SEC_FORM_4,4,Bauerschmidt Mary Ellen,EVERSOURCE ENERGY
OFFICER (SVP General Counsel & Corp Sec),SEC_FORM_4,4,Aleman Keeley A,BOISE CASCADE Co
"OFFICER (SVP, CFO)",SEC_FORM_4,4,Ajemyan Arthur,APPLIED MATERIALS INC /DE
"OFFICER (SVP, Chief Marketing Officer)",SEC_FORM_4,4,Gao Wei Victor Alejandro,ARROW ELECTRONICS INC
"OFFICER (SVP, GC & Corporate Secretary)",SEC_FORM_4,4,Archiopoli Michael Brent,"Pursuit Attractions & Hospitality, Inc."
OFFICER (Senior Executive VP and CFO),SEC_FORM_4,4,Bready Cameron M,Amalgamated Financial Corp.
OFFICER (Sr Vice President - Subsidiary),SEC_FORM_4,4,Doyle Donald J Jr,CINCINNATI FINANCIAL CORP
OFFICER (Sr. VP & CFO),SEC_FORM_4,4,BELGYA MARK R,3M CO
OFFICER (VP & Chief Information Officer),SEC_FORM_4,4,Colisto Nicholas,Avery Dennison Corp
"OFFICER (VP, Controller)",SEC_FORM_4,4,Fehring Nicolas A.,AES CORP
"OFFICER (VP, Corporate Controller)",SEC_FORM_4,4,Maloney Tina,COOPER COMPANIES INC
"OFFICER (VP, General Counsel)",SEC_FORM_4,4,Fruge Mary Celeste,COOPER COMPANIES INC
ASSOCIATE,SEC_BIO,3,Elon Musk,Chris Malachowsky
DIRECTOR (CEO & Director),SEC_FORM_4,3,Mitra Shankh,ELECTRONIC ARTS INC.
DIRECTOR (CEO and Executive Chairman),SEC_FORM_4,3,BERMAN ROBERT ALAN,AUDDIA INC.
"DIRECTOR (CEO, President and Secretary)",SEC_FORM_4,3,BERMAN STEPHEN G,"HNO International, Inc."
DIRECTOR (CFO and Secretary),SEC_FORM_4,3,Chuah Su Chen,"Concrete Pumping Holdings, Inc."
"DIRECTOR (CHAIRMAN, PRESIDENT & CEO)",SEC_FORM_4,3,BERTHIAUME DOUGLAS A,NIKE INC
"DIRECTOR (Chair, President & CEO)",SEC_FORM_4,3,Rice William G.,ADVANCED MICRO DEVICES INC
DIRECTOR (Chairman of the Board & CEO),SEC_FORM_4,3,Olson Jeffrey S,FIRST BANCSHARES INC /MO/
DIRECTOR (Chairman/CEO),SEC_FORM_4,3,Jamshidi Shahsavar Mahmood,BrightRock Gold Corp
DIRECTOR (Chief Scientific Officer),SEC_FORM_4,3,Fishman Pnina,Can-Fite BioPharma Ltd.
DIRECTOR (Co-CEO and CFO),SEC_FORM_4,3,Heyburn William A.,"Awaysis Capital, Inc."
DIRECTOR (Co-Chairman & CEO),SEC_FORM_4,3,COLEMAN GARY L,GLOBE LIFE INC.
DIRECTOR (Director),SEC_FORM_4,3,Fox-Martin Adaire,"DOLLAR TREE, INC."
"DIRECTOR (Director, President and CEO)",SEC_FORM_4,3,COCKLIN KIM R,AGNC Investment Corp.
DIRECTOR (Executive Chairman of Board),SEC_FORM_4,3,BYRD DARYL G,Dutch Bros Inc.
DIRECTOR (Executive Vice Chairman),SEC_FORM_4,3,HENLEY JEFFREY,"Fortress Biotech, Inc."
DIRECTOR (Interim CFO),SEC_FORM_4,3,Bader Amir,Jet.AI Inc.
DIRECTOR (President and Director),SEC_FORM_4,3,Khunkhun Shawn,"AXIM BIOTECHNOLOGIES, INC."
"DIRECTOR (President, CEO and Chairman)",SEC_FORM_4,3,Al-Siddiq Waqaas,ARTS WAY MANUFACTURING CO INC
"DIRECTOR (President, CEO and Director)",SEC_FORM_4,3,Healy Walter F,Elanco Animal Health Inc
DIRECTOR (See remarks),SEC_FORM_4,3,LURIO DOUGLAS M,Armada Acquisition Corp. III
DIRECTOR (Senior Vice President),SEC_FORM_4,3,KARAM THOMAS F,EQT Corp
DIRECTOR (Vice President),SEC_FORM_4,3,Hill Steven Craig,Kentucky First Federal Bancorp
"OFFICER (CCO, VP and Secretary)",SEC_FORM_4,3,Conwell Chad,FLAHERTY & CRUMRINE PREFERRED INCOME FUND INC
OFFICER (CEO Amazon Web Services),SEC_FORM_4,3,Garman Matthew S,AMAZON COM INC
OFFICER (CEO and CFO),SEC_FORM_4,3,Huffman Janet,"M-tron Industries, Inc."
OFFICER (CFO & CAO),SEC_FORM_4,3,Bernstein David,CARNIVAL CORP
"OFFICER (CFO, Treasurer and EVP)",SEC_FORM_4,3,Frias James D,NUCOR CORP
"OFFICER (CFO, Treasurer)",SEC_FORM_4,3,KUTUA LUBI,"BEYOND MEAT, INC."
OFFICER (CHIEF HUMAN RESOURCES OFFICER),SEC_FORM_4,3,Gattis Erin K,ARCBEST CORP /DE/
OFFICER (CHIEF RISK OFFICER),SEC_FORM_4,3,Evernham Scott J,"Catalyst Bancorp, Inc."
OFFICER (CHIEF SCIENTIFIC OFFICER),SEC_FORM_4,3,Hall Brett Matthew,"HARROW, INC."
OFFICER (CHIEF TECHNOLOGY OFFICER),SEC_FORM_4,3,GARAGIC DENIS,Archer Aviation Inc.
OFFICER (CHRO),SEC_FORM_4,3,CHAND M RIZWAN,CHIPOTLE MEXICAN GRILL INC
OFFICER (Chairman and CEO),SEC_FORM_4,3,DENAULT LEO P,Avery Dennison Corp
OFFICER (Chief Administration Officer),SEC_FORM_4,3,Boothe Timothy W,"ASE Technology Holding Co., Ltd."
OFFICER (Chief Banking Officer),SEC_FORM_4,3,Kim Anthony I.,Beacon Financial Corp
OFFICER (Chief Legal Officer & Corp Sec),SEC_FORM_4,3,Ashe Gena L,Anterix Inc.
OFFICER (Chief Maritime Officer),SEC_FORM_4,3,Ljoen Lars Jakob,CARNIVAL CORP
OFFICER (Chief of Staff),SEC_FORM_4,3,Bowron Kimberly T,"Getty Images Holdings, Inc."
OFFICER (Co-CEO),SEC_FORM_4,3,Baranes Yakov,GLOBE LIFE INC.
"OFFICER (Controller, CAO)",SEC_FORM_4,3,CARY RICHARD C,AMERICAN ELECTRIC POWER CO INC
OFFICER (Corporate Controller),SEC_FORM_4,3,Kurimsky Kurtis R.,Bank of New York Mellon Corp
OFFICER (Corporate Secretary),SEC_FORM_4,3,Hayes Monique D,DIODES INC /DEL/
OFFICER (EVP & Chief Innovation Officer),SEC_FORM_4,3,Birmingham Melody,LyondellBasell Industries N.V.
OFFICER (EVP & Chief Investment Officer),SEC_FORM_4,3,Farrell Breege A,EQUITY RESIDENTIAL
OFFICER (EVP & Chief Operations Officer),SEC_FORM_4,3,Alpuche Charles,"Enact Holdings, Inc."
"OFFICER (EVP & GM, PSD)",SEC_FORM_4,3,Gitin Mark Milton,MKS INC
OFFICER (EVP - CFO),SEC_FORM_4,3,Borden Ian Frederick,FIRST NATIONAL CORP /VA/
OFFICER (EVP - Chief People Officer),SEC_FORM_4,3,Boyd Tiffanie L.,FEDEX CORP
OFFICER (EVP CHIEF FINANCIAL OFF),SEC_FORM_4,3,DIETRICH JOHN W,FEDEX CORP
OFFICER (EVP Chief Supply Chain Officer),SEC_FORM_4,3,Devese Mellinda,CHURCH & DWIGHT CO INC /DE/
OFFICER (EVP GENL COUNSEL/SECTY),SEC_FORM_4,3,ADAMS GINA F.,FEDEX CORP
OFFICER (EVP Human Resources),SEC_FORM_4,3,DiPietro Kenneth,BIOGEN IDEC INC.
OFFICER (EVP Research & Development),SEC_FORM_4,3,Malik Fady Ibraham,BIOGEN IDEC INC.
OFFICER (EVP and CIO),SEC_FORM_4,3,DAVIS MARTIN BERNARD,GLOBAL PAYMENTS INC
OFFICER (EVP and Chief Admin Officer),SEC_FORM_4,3,BESSETTE ANDY F,"Avidia Bancorp, Inc."
"OFFICER (EVP, Chief Development Officer)",SEC_FORM_4,3,Forbes William P,"CLEANSPARK, INC."
"OFFICER (EVP, Chief Investment Officer)",SEC_FORM_4,3,Farrell Breege A,AGNC Investment Corp.
"OFFICER (EVP, Chief Medical Officer)",SEC_FORM_4,3,Compton-Phillips Amy,BIOGEN INC.
"OFFICER (EVP, Corporate Affairs)",SEC_FORM_4,3,Short Bartie Wendy,BRISTOL MYERS SQUIBB CO
"OFFICER (EVP, Finance & CFO)",SEC_FORM_4,3,Bolster Brian W,NEXTERA ENERGY INC
"OFFICER (EVP, GENERAL COUNSEL)",SEC_FORM_4,3,Ames Christy,REPUBLIC BANCORP INC /KY/
"OFFICER (EVP, General Counsel and Secy)",SEC_FORM_4,3,BAR ROSELYN R,AES CORP
"OFFICER (EVP, Geographies)",SEC_FORM_4,3,Al Mogharbel Khaled,SCHLUMBERGER LIMITED/NV
"OFFICER (EVP, Global Operations)",SEC_FORM_4,3,Abdel Raouf,EQUINIX INC
"OFFICER (EVP, President/COO Commercial)",SEC_FORM_4,3,JOHNSTON TERRY L,LENNOX INTERNATIONAL INC
"OFFICER (EVP, Research and Development)",SEC_FORM_4,3,Bradner James E.,AMGEN INC
"OFFICER (EVP, SBSEG)",SEC_FORM_4,3,Chriss James Alexander,INTUIT INC
"OFFICER (EVP, Store Operations)",SEC_FORM_4,3,Herrmann Tracey N,DOLLAR GENERAL CORP
"OFFICER (EVP, Worldwide Sales)",SEC_FORM_4,3,Brannan Andrew,"CIRRUS LOGIC, INC."
OFFICER (EVP/Chief Financial Officer),SEC_FORM_4,3,Gerke Mark Raymond,FIRST COMMONWEALTH FINANCIAL CORP /PA/
OFFICER (EVP: CFO),SEC_FORM_4,3,Campion Andrew,NIKE INC
OFFICER (Exec. Vice President and CFO),SEC_FORM_4,3,Schlesinger Edward A,CORNING INC /NY
"OFFICER (Executive VP, CFO)",SEC_FORM_4,3,Khandelwal Abhishek,COCA COLA CO
OFFICER (Executive Vice President*),SEC_FORM_4,3,BOROUGHS TIMOTHY ALAN,Chubb Ltd
OFFICER (General Counsel & Corp. Sec.),SEC_FORM_4,3,Blose James P,"Braze, Inc."
OFFICER (President & CFO),SEC_FORM_4,3,Allan Donald,DOLLAR GENERAL CORP
OFFICER (President EMEA),SEC_FORM_4,3,Bouyakhf Mehdi Nico,Birkenstock Holding plc
"OFFICER (President and CEO, Mercer)",SEC_FORM_4,3,Ferland Martine,"MARSH & MCLENNAN COMPANIES, INC."
OFFICER (President and CIO),SEC_FORM_4,3,Cheigh Jon,Advanced Flower Capital Inc.
"OFFICER (President, Americas)",SEC_FORM_4,3,Bezjak Mark,Gates Industrial Corp plc
"OFFICER (President, Asia Pacific)",SEC_FORM_4,3,Gargano Anthony J,GRACO INC
"OFFICER (President, CEO)",SEC_FORM_4,3,Borkowski Michael J,Clearwater Paper Corp
"OFFICER (President, CFO)",SEC_FORM_4,3,Gibbs David W,Alphabet Inc.
"OFFICER (President, EMEA)",SEC_FORM_4,3,Chambers Caroline M,GRACO INC
"OFFICER (President, Otis Americas)",SEC_FORM_4,3,Armas Joseph Jay,Otis Worldwide Corp
"OFFICER (President, Otis EMEA)",SEC_FORM_4,3,Calleja Fernandez Bernardo,Otis Worldwide Corp
"OFFICER (President, U.S. Confection)",SEC_FORM_4,3,Archambault Matthew Andrew,HERSHEY CO
OFFICER (President/CEO FedEx Express),SEC_FORM_4,3,Colleran Donald F,FEDEX CORP
OFFICER (President/COO),SEC_FORM_4,3,BRONCZEK DAVID J,FEDEX CORP
OFFICER (Public Relations Officer),SEC_FORM_4,3,Naratil Valerie,Blackstone Long-Short Credit Income Fund
OFFICER (SEVP - Group President),SEC_FORM_4,3,Canestrari Kenneth,TJX COMPANIES INC /DE/
OFFICER (SVP & CCO),SEC_FORM_4,3,Grygiel Nancy A.,AMGEN INC
OFFICER (SVP & COO),SEC_FORM_4,3,Karas Michelle M.,BALL Corp
OFFICER (SVP & Chief Commercial Officer),SEC_FORM_4,3,Bourne Robert W.,CARPENTER TECHNOLOGY CORP
OFFICER (SVP & Chief HR Officer),SEC_FORM_4,3,Baker-Nel Deena,Avery Dennison Corp
OFFICER (SVP & Chief Legal Officer),SEC_FORM_4,3,D'Angelo Anne-Marie W,ARROW ELECTRONICS INC
OFFICER (SVP & Chief Marketing Officer),SEC_FORM_4,3,Gao Wei Victor Alejandro,ARROW ELECTRONICS INC
OFFICER (SVP Chief Supply Chain Officer),SEC_FORM_4,3,Reid Martin Luther,BALCHEM CORP
OFFICER (SVP and Controller),SEC_FORM_4,3,Axel Robert,"Leonardo DRS, Inc."
OFFICER (SVP and Corporate Controller),SEC_FORM_4,3,Francis Timothy P,EXELON CORP
OFFICER (SVP and Treasurer),SEC_FORM_4,3,CARVER KRISTY,HALLIBURTON CO
"OFFICER (SVP, Business Development)",SEC_FORM_4,3,Khosla Rachna,AMGEN INC
"OFFICER (SVP, CAO & Controller)",SEC_FORM_4,3,Hensley Jennifer M,BAXTER INTERNATIONAL INC
"OFFICER (SVP, CAO)",SEC_FORM_4,3,Colantuoni Brian M,"Easterly Government Properties, Inc."
"OFFICER (SVP, CHIEF ACCOUNTING OFFICER)",SEC_FORM_4,3,BOBINSKI CATHERINE A,"AMC ENTERTAINMENT HOLDINGS, INC."
"OFFICER (SVP, Chief Gov, Sust, HR Offr)",SEC_FORM_4,3,Zech Gretchen,ARROW ELECTRONICS INC
"OFFICER (SVP, Chief Scientific Officer)",SEC_FORM_4,3,Artavanis-Tsakonas Spyridon,BIOGEN IDEC INC.
"OFFICER (SVP, Controller and PAO)",SEC_FORM_4,3,Odom Aron M.,DXC Technology Co
"OFFICER (SVP, Controller)",SEC_FORM_4,3,McGrail Joseph,"BJ's Wholesale Club Holdings, Inc."
"OFFICER (SVP, Gen. Counsel & Secretary)",SEC_FORM_4,3,Boxer Michael A,CARPENTER TECHNOLOGY CORP
"OFFICER (SVP, Global Operations)",SEC_FORM_4,3,Blackburn Robert,INSULET CORP
OFFICER (Senior Executive VP),SEC_FORM_4,3,Datta Rajashree,Bank of New York Mellon Corp
OFFICER (Senior VP & CFO),SEC_FORM_4,3,Cerepak Brad M,DOVER Corp
OFFICER (Senior VP & CHRO),SEC_FORM_4,3,BORS KIMBERLY K,DOVER Corp
OFFICER (Senior VP & Controller),SEC_FORM_4,3,Becker Stefan,CORNING INC /NY
OFFICER (Senior VP and General Counsel),SEC_FORM_4,3,HERMAN MICHAEL R,MOVADO GROUP INC
"OFFICER (Senior VP, Human Resources)",SEC_FORM_4,3,Campbell Robert Dale,AMPHENOL CORP /DE/
OFFICER (Senior Vice President & CHRO),SEC_FORM_4,3,Gullo Michelle L,CORNING INC /NY
OFFICER (Sr. Exec. Vice President),SEC_FORM_4,3,Keating Catherine,Bank of New York Mellon Corp
OFFICER (Sr. VP & Chief HR Officer),SEC_FORM_4,3,Favorite Annette F,AES CORP
OFFICER (Sr. Vice President & CFO),SEC_FORM_4,3,Lizardi Rafael R,PACCAR INC
OFFICER (VP & CAO),SEC_FORM_4,3,Distefano Laura B.,EOG RESOURCES INC
OFFICER (VP & Portfolio Manager),SEC_FORM_4,3,Malik Fahd,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND INC
OFFICER (VP & Pres-Fluid Conn. Grp.),SEC_FORM_4,3,Ross Andrew D,PARKER HANNIFIN CORP
OFFICER (VP & Pres.-Aerospace Grp.),SEC_FORM_4,3,Reidy Jay,PARKER HANNIFIN CORP
OFFICER (VP & Pres.-Filtration Grp.),SEC_FORM_4,3,Jacobson Matthew A.,PARKER HANNIFIN CORP
OFFICER (VP & Treasurer),SEC_FORM_4,3,Fyfe Kevin,DOVER Corp
OFFICER (VP Controller),SEC_FORM_4,3,Fyfe Kevin,Avery Dennison Corp
OFFICER (VP),SEC_FORM_4,3,Malone Robert W,Parker-Hannifin Corp
"OFFICER (VP, CAO and Controller)",SEC_FORM_4,3,Budden Lauren,INSULET CORP
"OFFICER (VP, Finance & CAO)",SEC_FORM_4,3,Borges David J.,AMGEN INC
"OFFICER (VP, Gen. Counsel & Secretary)",SEC_FORM_4,3,Kooper Jay L,EXXON MOBIL CORP
OFFICER (Vice Chairman and CFO),SEC_FORM_4,3,BENET JAY S,AMERICAN EXPRESS CO
"OFFICER (Vice President, Audit)",SEC_FORM_4,3,Disser Peter T,NISOURCE INC.
"OFFICER (evp, Public Affairs)",SEC_FORM_4,3,Kelly John AC,STARBUCKS CORP
"OFFICER (evp, chief partner officer)",SEC_FORM_4,3,Helm Lucy Lee,STARBUCKS CORP
PROMOTER,SEC_FORM_D,3,David Baszucki,"Energy Transfer Equity, L.P."
ACADEMIC_DEGREE,WIKIDATA,2,James Ho,Doctor of Laws
AFFILIATED_WITH,WIKIDATA,2,Eugene Scalia,United States Department of Labor
BOARD_MEMBER,WEBSITE_SCRAPE,2,Get In Touch,Harvard University
CFO,SEC,2,Amy Hood,MICROSOFT CORP
CHAIRMAN,SEC,2,John L. Hennessy,ALPHABET INC
DIRECTOR (CEO & Chairman of the Board),SEC_FORM_4,2,Burgess Trevor R,"KULR Technology Group, Inc."
DIRECTOR (CEO and CIO),SEC_FORM_4,2,Ferri Claudio,Horizon Kinetics Holding Corp
"DIRECTOR (CEO, CFO and Secretary)",SEC_FORM_4,2,File Justin J.,"Lite Strategy, Inc."
"DIRECTOR (CEO, Chairman of the Board)",SEC_FORM_4,2,STERNLICHT BARRY S,"STARWOOD PROPERTY TRUST, INC."
"DIRECTOR (CEO, President, and Director)",SEC_FORM_4,2,Goodarzi Sasan K,INTUIT INC
DIRECTOR (CEO/Chairman),SEC_FORM_4,2,LEDOUX MARK A,NATURAL ALTERNATIVES INTERNATIONAL INC
DIRECTOR (CFO and Director),SEC_FORM_4,2,Livson Roman,BurTech Acquisition Corp II
DIRECTOR (CMO),SEC_FORM_4,2,Vanzura Elisabeth,So-Young International Inc.
DIRECTOR (CO-COO AND EVP),SEC_FORM_4,2,Renda Rudolph V.,"Southland Holdings, Inc."
DIRECTOR (CTO),SEC_FORM_4,2,Delory Gregory Townsend,"Cavitation Technologies, Inc."
DIRECTOR (Chair & CEO),SEC_FORM_4,2,Barra Mary T,CITIGROUP INC
"DIRECTOR (Chair, President and CEO)",SEC_FORM_4,2,Fields Kimberly A,ATI INC
DIRECTOR (Chairman & C.E.O.),SEC_FORM_4,2,Fisher Daniel William,BALL Corp
DIRECTOR (Chairman and CFO),SEC_FORM_4,2,DOUGLASS A STONE,"CSLM Digital Asset Acquisition Corp III, Ltd"
DIRECTOR (Chairman and Co-CEO),SEC_FORM_4,2,RILEY BRYANT R,"BRC Group Holdings, Inc."
"DIRECTOR (Chairman, CEO, CFO)",SEC_FORM_4,2,Norris Patrick L.,ADVANCED OXYGEN TECHNOLOGIES INC
DIRECTOR (Chairperson & CEO),SEC_FORM_4,2,Du Ying,UNITED THERAPEUTICS Corp
DIRECTOR (Chief Exec Officer & Director),SEC_FORM_4,2,Jurek Ivo,3M CO
DIRECTOR (Chief Executive Officer),,2,Ittmann Jorik,"AstroNova, Inc."
DIRECTOR (Chief Investment Officer),SEC_FORM_4,2,ISRAEL RYAN,PERSHING SQUARE INC.
DIRECTOR (Co-Chairman),SEC_FORM_4,2,COLEMAN GARY L,GLOBE LIFE INC.
DIRECTOR (Co-Executive Chairman),SEC_FORM_4,2,KRAVIS HENRY R,KKR & Co. Inc.
DIRECTOR (Co-President (See Remarks)),SEC_FORM_4,2,KLEINMAN SCOTT,"Apollo Global Management, Inc."
"DIRECTOR (Director, and President & CEO)",SEC_FORM_4,2,Hamrock Joseph,NISOURCE INC.
DIRECTOR (EXECUTIVE CHAIRMAN OF BOARD),SEC_FORM_4,2,AGREE RICHARD,AGREE REALTY CORP
DIRECTOR (Executive Chair and CEO),SEC_FORM_4,2,Brock James A,"Core Natural Resources, Inc."
DIRECTOR (Executive Co-Chairman),SEC_FORM_4,2,KRAVIS HENRY R,Hamilton Lane INC
DIRECTOR (Executive Director),SEC_FORM_4,2,Shan Yigang,KE Holdings Inc.
DIRECTOR (Executive Officer),SEC_FORM_4,2,Bernhard Olivier,On Holding AG
DIRECTOR (Executive Vice Chair),SEC_FORM_4,2,Auld David V,BayCom Corp
DIRECTOR (Executive Vice President & CFO),SEC_FORM_4,2,HAMNER R STEVEN,MEDICAL PROPERTIES TRUST INC
DIRECTOR (Interim Executive Chairman),SEC_FORM_4,2,Lekstrom Morgan Lee,"FIVE BELOW, INC"
DIRECTOR (MD Head of Global Equities),SEC_FORM_4,2,Costa Vincent J,Voya Emerging Markets High Dividend Equity Fund
DIRECTOR (PRESIDENT AND COO),SEC_FORM_4,2,Barker Christopher R.,"SELECTIS HEALTH, INC."
DIRECTOR (Pres. & Chief Exec. Officer),SEC_FORM_4,2,JONES CHARLES E,CASTLE BIOSCIENCES INC
DIRECTOR (President and CIO),SEC_FORM_4,2,Pietrzak Daniel,FS KKR Capital Corp
"DIRECTOR (President, CEO & Chairman)",SEC_FORM_4,2,Norcross Gary,"Fidelity National Information Services, Inc."
"DIRECTOR (President, CEO and CFO)",SEC_FORM_4,2,Confer Ryan M.,"Genprex, Inc."
"DIRECTOR (President, COO)",SEC_FORM_4,2,GODFREY FRANCOIS,AMERICAN REBEL HOLDINGS INC
"DIRECTOR (President, R&D)",SEC_FORM_4,2,Krishnan Suma,"Krystal Biotech, Inc."
DIRECTOR (SEE REMARKS),SEC_FORM_4,2,Burton David M.,"Jefferson Capital, Inc. / DE"
DIRECTOR (Secretary/Treasurer),SEC_FORM_4,2,BREEN NICOLE M,"Jubilant Flame International, Ltd"
DIRECTOR (TREASURER),SEC_FORM_4,2,BARRON THOMAS A,CAPITAL CITY BANK GROUP INC
DIRECTOR (Treasurer),SEC_FORM_4,2,HARIRINIA HOSSEIN,"HNO International, Inc."
DIRECTOR (VICE PRESIDENT),SEC_FORM_4,2,Kantrowitz Ian,DYNAMIC AEROSPACE SYSTEMS Corp
